Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Country (product.metafields.shopify.country),Dietary preferences (product.metafields.shopify.dietary-preferences),Wine sweetness (product.metafields.shopify.wine-sweetness),Wine variety (product.metafields.shopify.wine-variety),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Alcohol (product.metafields.wine.alcohol),Awards (product.metafields.wine.awards),Bottle weight (product.metafields.wine.bottle_weight),Case info (product.metafields.wine.case_info),Country (product.metafields.wine.country),Finish (product.metafields.wine.finish),Maturation (product.metafields.wine.maturation),Nose (product.metafields.wine.nose),Pairing (product.metafields.wine.pairing),Palate (product.metafields.wine.palate),Region (product.metafields.wine.region),Serving temp (product.metafields.wine.serving_temp),Subtitle (product.metafields.wine.subtitle),Variety (product.metafields.wine.variety),Vivino score (product.metafields.wine.vivino_score),Wine Type (product.metafields.wine.wine_type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
petit-saperavi-1,Petit Saperavi,"<p>Petit Saperavi este un vin rosu sec intens si expresiv, apreciat pentru caracterul sau puternic si structura bine definita. Aduce arome bogate de fructe negre precum cirese negre si prune, completate de nuante condimentate si usoare note de piele si ciocolata. Este un vin profund, cu personalitate, care impresioneaza prin culoarea sa intensa si prin capacitatea de invechire.</p>",PovesteDeVin,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Vin rose,"chateau cristi, custom-box-eligible, hidden-individual, hidden-product, moldova, petit, saperavi, vin corpolent, vin de colectie, vin intens, vin pentru carne rosie, vin rosu sec",true,Title,Default Title,,,,,,,,PE-SA,1250.0,shopify,0,continue,manual,22.23,,true,false,,,,,'5941930900174,https://cdn.shopify.com/s/files/1/0988/7947/1998/files/Petit_Saperavi_Sticla.jpg?v=1772454439,1,Petit Saperavi Chateau Cristi sticla 0.75L vin rosu sec Moldova,false,Petit Saperavi | Vin rosu sec Moldova | PovesteDeVin,"Descopera Petit Saperavi de la Chateau Cristi, vin rosu sec intens din Republica Moldova, cu arome de fructe negre si condimente. Disponibil la bax de 6 sticle sau in cutie personalizabila.",,,,,,,,,,,,,moldova,,dry,red,,,,,14%,,1.25 kg,Sticla 0.75L.,Moldova,"Final lung, intens, cu persistenta fructata si accente condimentate si usor afumate.","Structurat pentru a evidentia taninurile pronuntate si profunzimea soiului, cu potential bun de invechire in sticla.","Arome intense de mure, cirese negre si prune coapte, completate de note de condimente, accente fine de ciocolata si usoare nuante florale.","Se potriveste excelent cu carne rosie la gratar, cotlete de miel, frigarui de vita, preparate din vanat si branzeturi maturate.","Corpolent, cu taninuri pronuntate dar bine integrate, aciditate echilibrata si o structura robusta care sustine complexitatea aromatica.",Valul lui Traian,12 – 18°C,"Intens, profund si memorabil",Saperavi,,Vin rosu sec,,kg,,15.88,active
petit-saperavi-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0988/7947/1998/files/Petit_Saperavi_prezentare_vin.jpg?v=1772454469,2,Petit Saperavi eticheta detaliu si descriere oficiala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
petit-malbec,Petit Malbec,"<p>Petit Malbec este un vin rosu sec care impresioneaza prin intensitatea aromelor de fructe negre si prin textura sa catifelata. Notele de capsuni coapte, cirese negre si prune sunt completate de accente fine florale si usoare nuante condimentate. Corpolent si echilibrat, cu taninuri moderate si aciditate bine integrata, acest vin ofera o experienta complexa si eleganta, cu potential bun de evolutie in sticla.</p>",PovesteDeVin,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Vin rosu,"custom-box-eligible, hidden-individual, hidden-product",true,Title,Default Title,,,,,,,,PE-MA,1250.0,shopify,0,continue,manual,22.23,,true,false,,,,,'5941930900143,https://cdn.shopify.com/s/files/1/0988/7947/1998/files/Petit_Malbec.jpg?v=1772455131,1,Petit Malbec Chateau Cristi sticla 0.75L vin rosu sec Moldova,false,Petit Malbec | Vin rosu sec Moldova | PovesteDeVin,"Descopera Petit Malbec de la Chateau Cristi, vin rosu sec din Republica Moldova, cu arome de prune si cirese negre, textura catifelata si structura eleganta. Disponibil la bax de 6 sticle sau in cutie personalizabila.",,,,,,,,,,,,,moldova,,dry,red,,,,,14%,,1.25 kg,Sticla 0.75L.,Moldova,"Final mediu spre lung, catifelat, cu persistenta fructata si accente fine florale.","Structurat pentru a evidentia textura catifelata si expresivitatea fructului, cu potential de invechire in sticla.","Arome bogate de prune, cirese negre si afine, completate de note florale subtile si usoare accente condimentate.","Se potriveste foarte bine cu carne de vita la gratar, friptura de miel, branzeturi maturate si chiar preparate usor picante sau cu sosuri bogate.","Plin si rotund, cu taninuri moderate, textura catifelata si aciditate echilibrata care sustine structura robusta a vinului.",Valul lui Traian,12 – 18°C,"Catifelat, intens si echilibrat",Malbec,,Vin rosu sec,,kg,,15.88,active
petit-malbec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0988/7947/1998/files/Petit_Malbec_prezentare.png?v=1772455109,2,Petit Malbec eticheta detaliu si descriere oficiala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
petit-merlot,Petit Merlot,"<p data-start=""57"" data-end=""403"">Description<br data-start=""68"" data-end=""71"">Merlot-ul este unul dintre cele mai cunoscute si raspandite vinuri rosii din lume, originar din regiunea Bordeaux, dar cultivat cu succes in sudul Moldovei, intr-o zona cu terroir similar celui francez. Petit Merlot ofera un gust fructat, catifelat si accesibil, fiind adesea recomandat celor care incep sa exploreze vinurile rosii.</p>
<p data-start=""405"" data-end=""620"">Fiind un vin tanar, pastreaza intens aromele naturale ale strugurelui, are o textura usoara si prietenoasa, fiind alegerea perfecta pentru cei care cauta un vin rosu nepretentios, potrivit pentru mesele de zi cu zi.</p>",PovesteDeVin,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Vin rosu,"chateau cristi, custom-box-eligible, hidden-individual, hidden-product, moldova, petit, vin catifelat, vin fructat, vin pentru incepatori, vin rosu sec, vin usor de baut",true,Title,Default Title,,,,,,,,PE-ME,1250.0,shopify,0,continue,manual,22.23,,true,false,,,,,'5941930900150,https://cdn.shopify.com/s/files/1/0988/7947/1998/files/Petit_Merlot.jpg?v=1772456619,1,Petit Merlot Chateau Cristi sticla 0.75L vin rosu sec Moldova,false,Petit Merlot | Vin rosu sec Moldova | PovesteDeVin,"Descopera Petit Merlot de la Chateau Cristi, vin rosu sec fructat si catifelat, cultivat in sudul Moldovei. Ideal pentru mesele de zi cu zi. Disponibil la bax de 6 sticle sau in cutie personalizabila.",,,,,,,,,,,,,moldova,,dry,red,,,,,14%,,1.25 kg,Sticla 0.75L.,Moldova,"Final mediu, rotund si echilibrat, cu persistenta fructata.","Vinificat pentru a pastra prospetimea si expresia fructului, fara accent puternic pe maturare indelungata.",,"Se potriveste foarte bine cu preparate la gratar, carne de pasare, paste cu sos de rosii, pizza, branzeturi semi-maturate si preparate usoare pentru mesele de zi cu zi.","Catifelat si echilibrat, cu taninuri moderate, corp mediu si aciditate placuta care il face usor de baut.",Valul lui Traian,12 – 18°C,"Fructat, catifelat si usor de indragit",Merlot,,Vin rosu sec,,kg,,15.88,active
politika-liberal,Politika Liberal,"<p data-start=""186"" data-end=""320"">Politika Coupage Liberal este un vin alb tanar, expresiv si ironic, creat pentru cei care iubesc libertatea – in gust si in atitudine.</p>
<p data-start=""322"" data-end=""621"">Nou pe esichierul Politika, acest cupaj dintre Chardonnay si Riesling sfideaza regulile clasice si isi afirma personalitatea prin prospetime, mineralitate si note vibrante de lamaie, piersica si mango. Este un vin care vorbeste deschis despre echilibru si prospetime, dar o face cu un zambet ironic.</p>
<p data-start=""623"" data-end=""870"">Strugurii sunt recoltati manual din podgoriile Chateau Cristi la maturitate deplina, urmati de o scurta macerare pe bostina pentru a extrage aromele varietale, apoi vinificati atent pentru a pastra caracterul fructat si energia naturala a vinului.</p>
<p data-start=""872"" data-end=""1013"">Politika Coupage Liberal este medaliat cu Aur la Mundus Vini 2023, confirmand ca dincolo de ironie si poveste, calitatea este incontestabila.</p>
<p data-start=""1015"" data-end=""1103"">Un vin accesibil, modern si surprinzator – ideal pentru mese lejere si seri cu prieteni.</p>",PovesteDeVin,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Vin alb,"chardonnay riesling, chateau cristi, coupage liberal, custom-box-eligible, hidden-individual, hidden-product, mundus vini 2023, politika, vin alb sec, vin fructat, vin medaliat, vin moldovenesc, vin tanar",true,Title,Default Title,,,,,,,,PO-LI,1250.0,shopify,0,continue,manual,25.41,,true,false,,,,,'5941930900235,https://cdn.shopify.com/s/files/1/0988/7947/1998/files/Politika_Liberal.jpg?v=1772465822,1,Acest cupaj dintre Chardonnay si Riesling sfideaza regulile clasice si isi afirma personalitatea prin prospetime,false,Politika Coupage Liberal | Medalie Aur Mundus Vini 2023 | PovesteDeVin,"Cumpara Politika Coupage Liberal, vin alb sec din Chardonnay si Riesling, medaliat cu Aur la Mundus Vini 2023. Proaspat, fructat si mineral. Disponibil online pe PovesteDeVin.",,,,,,,,,,,,,romania,,dry,white,,,,,14.1%,Mundus Vini 2023 - Medalia de Aur,1.25 kg,Sticla 0.75L,Moldova,"Final proaspat si mineral, cu persistenta placuta de fructe tropicale si citrice.",Vinificat pentru a pastra prospetimea si expresia aromatica a soiurilor Chardonnay si Riesling.,"Arome florale si fructe tropicale, cu accente de lamaie, piersica, mango si mar verde.","Paste cu sos alb, pizza, pui la cuptor, preparate usoare, cheesecake.","Corpolenta medie, aciditate echilibrata si textura supla, cu expresie fructata intensa.",Valul lui Traian,6 – 10°C,"Libertate, prospetime si ironie intr-un cupaj premiat",Cupaj Chardonnay & Riesling,'3.8,Vin alb sec,,kg,,18.15,active
politika-candidat,Politika Candidat,"<p data-start=""141"" data-end=""239"">Politika Candidat este vinul care intra in cursa cu incredere, discurs clar si promisiuni aromate.</p>
<p data-start=""241"" data-end=""500"">Un Pinot Noir tanar si expresiv, plin de arome de pomusoare si fructe de padure, care combina eleganta cu o structura supla si usor de abordat. Notele de cirese, mure si coacaze rosii se impletesc cu prospetimea naturala si un caracter lejer, dar convingator.</p>
<p data-start=""502"" data-end=""684"">Este un vin care mizeaza pe echilibru si accesibilitate, fara excese si fara rigiditate. Taninurile sunt bine integrate, aciditatea este vioaie, iar finalul este proaspat si fructat.</p>
<p data-start=""686"" data-end=""856"">Politika Candidat este medaliat cu Aur la Mundus Vini 2023 si evaluat cu 3.6 pe Vivino, confirmand ca, dincolo de ironia etichetei, calitatea este validata international.</p>
<p data-start=""858"" data-end=""971"">Un vin pentru mese relaxate, discutii aprinse si seri in care votul se exprima prin alegerea potrivita a sticlei.</p>",PovesteDeVin,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Vin rosu,"candidat, chateau cristi, custom-box-eligible, hidden-individual, hidden-product, medalie aur, mundus vini 2023, pinot noir, politika, vin fructat, vin moldovenesc, vin rosu sec, vin tanar, vivino 3.6",true,Title,Default Title,,,,,,,,PO-CA,1250.0,shopify,0,continue,manual,25.41,,true,false,,,,,'5941930900228,https://cdn.shopify.com/s/files/1/0988/7947/1998/files/Politika_Candidat.jpg?v=1772467231,1,Este un vin care mizeaza pe echilibru si accesibilitate,false,Politika Candidat | Pinot Noir | Mundus Vini 2023 Aur | PovesteDeVin,"Cumpara Politika Candidat, Pinot Noir vin rosu sec din Republica Moldova, medaliat cu Aur la Mundus Vini 2023 si scor 3.6 Vivino. Fructat, elegant si echilibrat. Disponibil online pe PovesteDeVin.",,,,,,,,,,,,,moldova,,dry,red,,,,,14.5%,Mundus Vini 2023 - Medalia de Aur,1.25 kg,Sticla 0.75L,Moldova,"Final proaspat, fructat, cu persistenta medie si accente de fructe rosii.","Vin tanar, vinificat pentru a pastra prospetimea si caracterul fructat specific Pinot Noir.","Arome de cirese coapte, mure si coacaze, completate de note de fructe rosii proaspete.","Pasare la gratar, somon copt, pizza, preparate usoare din carne alba.","Corpolenta medie spre usoara, taninuri fine si aciditate echilibrata, cu textura eleganta si supla.",Valul lui Traian,12 – 14°C,Eleganta si ambitie intr-un Pinot Noir premiat,Pinot Noir,'3.6,Vin rosu sec,,kg,,18.15,active
politika-conservator,Politika Conservator,"<p data-start=""161"" data-end=""286"">Politika Coupage Conservator este vinul care crede in aliante solide si in echilibrul bine negociat dintre forta si eleganta.</p>
<p data-start=""288"" data-end=""580"">In acest cupaj, Merlot, Cabernet Franc si Cabernet Sauvignon formeaza o coalitie stabila, construita pe taninuri moderate, structura echilibrata si un postgust remarcabil. Aromele de visina, fructe de padure si coacaze negre sunt completate de note fine de prune si accente usor condimentate.</p>
<p data-start=""582"" data-end=""760"">Este un vin rosu sec cu personalitate clara, dar accesibila, potrivit atat pentru mese consistente, cat si pentru seri in care discutia este la fel de intensa ca vinul din pahar.</p>
<p data-start=""762"" data-end=""991"">Politika Coupage Conservator este premiat international, obtinand medalie Silver la Decanter World Wine Awards 2023 si 91 puncte la Gilbert &amp; Gaillard, confirmand seriozitatea si calitatea acestui “program comun” bine structurat.</p>
<p data-start=""993"" data-end=""1043"">Un vin matur in atitudine, dar modern in expresie.</p>",PovesteDeVin,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Vin rosu,"chateau cristi, coupage conservator, custom-box-eligible, decanter 2023, gilbert gaillard 91 puncte, hidden-individual, hidden-product, merlot cabernet franc cabernet sauvignon, politika, vin cupaj, vin moldovenesc, vin rosu sec",true,Title,Default Title,,,,,,,,PO-CO,1250.0,shopify,0,continue,manual,25.41,,true,false,,,,,'5941930900006,https://cdn.shopify.com/s/files/1/0988/7947/1998/files/Politika_Conservator.jpg?v=1772467937,1,"Politika Coupage Conservator este premiat international, obtinand medalie de Argint la Decanter World Wine Awards 2023",false,Politika Coupage Conservator | Decanter 2023 Argint | PovesteDeVin,"Cumpara Politika Coupage Conservator, vin rosu sec din Merlot, Cabernet Franc si Cabernet Sauvignon. Premiat Silver la Decanter 2023 si 91 puncte Gilbert & Gaillard. Disponibil online pe PovesteDeVin.",,,,,,,,,,,,,moldova,,dry,red,,,,,13.5%,"Decanter 2023 – Medalia de Argint
Gilbert & Gaillard – 91 puncte",1.25 kg,Sticla 0.75L,Moldova,"Postgust persistent, echilibrat, cu note de fructe negre si taninuri bine integrate.","Vinificat pentru a integra armonios Merlot, Cabernet Franc si Cabernet Sauvignon, pastrand echilibrul dintre fruct si structura.","Arome de visina, fructe de padure si coacaze negre, completate de note de prune si usoare accente condimentate.","Paste, afumaturi, pizza, carne rosie si preparate consistente.","Corpolenta medie spre plina, taninuri moderate si structura bine definita, cu echilibru intre fruct si intensitate.",Valul lui Traian,12 – 18°C,Alianta echilibrata intre forta si eleganta,"Cupaj Merlot, Cabernet Franc, Cabernet Sauvignon",'3.7,Vin rosu sec,,kg,,18.15,active
politika-democratic,Politika Democratic,"<p data-start=""156"" data-end=""260"">Politika Coupage Democratic este vinul care intelege ca echilibrul real se construieste prin colaborare.</p>
<p data-start=""262"" data-end=""545"">In acest cupaj, Cabernet Franc detine majoritatea (50%), dar nu domina scena, ci lucreaza armonios cu Merlot si Cabernet Sauvignon. Rezultatul este un vin rosu sec echilibrat, expresiv si convingator, in care taninurile fine sunt sustinute de o aciditate proaspata si bine integrata.</p>
<p data-start=""547"" data-end=""748"">Aromele de cirese, fructe de padure si usoare note ierboase sunt completate de accente de piper si condimente fine. Gustul este suculent, cu fruct rosu bine definit si un final persistent, condimentat.</p>
<p data-start=""750"" data-end=""986"">Politika Coupage Democratic este multipremiat international, obtinand:<br data-start=""820"" data-end=""823"">Medalie Gold – Gilbert &amp; Gaillard<br data-start=""856"" data-end=""859"">Medalie Silver – Decanter World Wine Awards 2023<br data-start=""907"" data-end=""910"">Medalie Bronze – Decanter World Wine Awards 2022<br data-start=""958"" data-end=""961"">Asia Wine Trophy – Gold</p>
<p data-start=""988"" data-end=""1105"">Un vin tanar, inteligent construit, care transforma ideea de “majoritate” intr-un exercitiu de echilibru si eleganta.</p>",PovesteDeVin,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Vin rosu,"asia wine trophy, cabernet franc merlot cabernet sauvignon, custom-box-eligible, decanter 2023, gilbert gaillard gold, hidden-individual, hidden-product, politika democratic, vin moldovenesc, vin premiat, vin rosu sec",true,Title,Default Title,,,,,,,,PO-DE,1250.0,shopify,0,continue,manual,25.41,,true,false,,,,,'5941930900242,https://cdn.shopify.com/s/files/1/0988/7947/1998/files/Politika_Democratic_vin_premiat.jpg?v=1772468593,1,"In acest cupaj, Cabernet Franc detine majoritatea (50%), dar nu domina scena, ci lucreaza armonios cu Merlot si Cabernet Sauvignon",false,Politika Coupage Democratic | Gold & Decanter | PovesteDeVin,"Cumpara Politika Coupage Democratic, vin rosu sec din Cabernet Franc, Merlot si Cabernet Sauvignon. Multipremiat Gold si Decanter. Disponibil online pe PovesteDeVin.",,,,,,,,,,,,,moldova,,dry,red,,,,,13.5%,"Asia Wine Trophy 2024 - Medalia de Aur
Decanter 2023 - Medalia de Argint
Decanter 2022 - Medalia de Bronza
Gilbert & Gaillard 2021 - Medalia de Aur",1.25 kg,Sticla 0.75L,Moldova,"Final persistent, condimentat, cu fruct rosu si taninuri fine.","Vinificat pentru a pastra prospetimea fructului si echilibrul dintre structura si aciditate, cu integrare armonioasa a celor trei soiuri.","Fructe rosii, cirese coapte, fructe de padure, usoare note ierboase si accente de piper.","Legume la cuptor, pizza, carne la gratar, preparate mediteraneene.","Structura echilibrata, taninuri fine, aciditate proaspata si fruct bine definit.",Valul lui Traian,12 – 18°C,"Majoritate echilibrata, gust convingator","Cupaj Cabernet Franc, Merlot, Cabernet Sauvignon",'3.6,Vin rosu sec,,kg,,18.15,active
politika-propaganda,Politika Propaganda,"<p data-start=""158"" data-end=""278"">Politika Propaganda Merlot Rosé este vocea seducatoare a colectiei – un vin care nu convinge prin forta, ci prin farmec.</p>
<p data-start=""280"" data-end=""536"">Cu o culoare roz pal, stralucitoare si vibranta, acest rosé atrage atentia din primul moment. Aromele de zmeura, capsuni coapte si fructe de padure se impletesc delicat cu petale de trandafir si note florale fine, construind un profil proaspat si expresiv.</p>
<p data-start=""538"" data-end=""746"">Gustul este fructat si echilibrat, cu aciditate moderata si un final placut, usor intens, care invita la inca un pahar. Este un vin tanar, accesibil si energic, perfect pentru momente relaxate si mese lejere.</p>
<p data-start=""748"" data-end=""867"">Politika Propaganda Merlot Rosé demonstreaza ca uneori mesajul cel mai puternic este livrat cu subtilitate si eleganta.</p>",PovesteDeVin,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Vin rose,"chateau cristi, custom-box-eligible, hidden-individual, hidden-product, merlot rose, politika propaganda, rose fructat, vin moldovenesc, vin rose sec, vin vara",true,Title,Default Title,,,,,,,,PO-PR,1250.0,shopify,0,continue,manual,25.41,,true,false,,,,,'5941930900211,https://cdn.shopify.com/s/files/1/0988/7947/1998/files/Politika_Propaganda.jpg?v=1772473485,1,"Gustul este fructat si echilibrat, cu aciditate moderata si un final placut",false,Politika Propaganda Merlot Rose | Vin rose sec Moldova | PovesteDeVin,"Cumpara Politika Propaganda Merlot Rose, vin rose sec din Merlot, cu arome de zmeura, capsuni si petale de trandafir. Proaspat, fructat si echilibrat. Disponibil online pe PovesteDeVin.",,,,,,,,,,,,,romania,,dry,rose,,,,,13.5%,,1.25 kg,Sticla 0.75L,Moldova,"Final proaspat, fructat, cu note florale persistente.",Vinificat pentru a pastra prospetimea fructului si expresia florala specifica Merlot-ului in varianta rose.,"Zmeura, capsuni coapte, fructe de padure si petale de trandafir.","Fructe de mare, somon, pesto, branzeturi moi, salate de vara.","Corpolenta usoara spre medie, aciditate moderata si profil aromatic expresiv, dominat de fruct rosu proaspat.",Valul lui Traian,8 – 12°C,"Mesaj subtil, impact memorabil",Merlot,,Vin rose sec,,kg,,18.15,active
bravoure-sauvignon-blanc-pinot-grigio,Bravoure Sauvignon Blanc & Pinot Grigio,"<p data-start=""95"" data-end=""461"">Bravoure Single Vineyard Sauvignon Blanc &amp; Pinot Grigio 2023 este expresia rafinata a unui terroir atent selectionat, unde precizia tehnica si maturitatea stilistica definesc fiecare detaliu. Provenit dintr-o parcela unica, acest cupaj imbina tensiunea vibranta a Sauvignon Blanc-ului cu rotunjimea eleganta a Pinot Grigio, intr-un echilibru controlat si sofisticat.</p>
<p data-start=""463"" data-end=""757"">Vinificarea urmareste pastrarea puritatii aromatice si a structurii naturale a strugurilor, rezultand un vin alb sec, cu aciditate bine integrata si intensitate aromatica clara, dar nu agresiva. Textura este precisa, liniara, sustinuta de o prospetime structurata si un final curat, persistent.</p>
<p data-start=""759"" data-end=""975"">Bravoure nu este un vin de volum, ci un vin de pozitionare. Este alegerea celor care apreciaza finetea, claritatea si echilibrul construit cu rigoare. Un alb gastronomic, matur in expresie si sigur pe identitatea sa.</p>
<p data-start=""977"" data-end=""988"">Vivino: 3.9</p>",PovesteDeVin,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Vin alb,"bravoure, cupaj sauvignon blanc pinot grigio, custom-box-eligible, hidden-individual, hidden-product, sauvignon blanc pinot grigio, vin alb citric, vin alb elegant, vin alb gastronomic, vin alb premium moldova, vin alb prospat, vin alb sec moldova, vin moldova premium, vin valul lui traian",true,Title,Default Title,,,,,,,,B-SBPG,1350.0,shopify,0,continue,manual,41.92,,true,false,,,,,'5941930900136,https://cdn.shopify.com/s/files/1/0988/7947/1998/files/Bravoure_Sauvignon_Blanc_Pinot_Grigio.jpg?v=1772608710,1,"Stilul Bravoure este unul matur si controlat, orientat spre echilibru si rafinament.",false,Bravoure Sauvignon Blanc & Pinot Grigio – Vin Alb Sec | Valul lui Traian,"Cupaj elegant din Sauvignon Blanc si Pinot Grigio cultivat in Valul lui Traian, cu arome proaspete de citrice si fructe albe. Un vin alb echilibrat, ideal pentru peste, fructe de mare si mese rafinate. Disponibil in cutie de 6 sticle sau cutie personalizabila.",,,,,,,,,,,,,moldova,,dry,white,,,,,13.5%,,1.35 kg,Sticla 0.75L,Moldova,"Finalul este proaspat si persistent, dominat de senzatii citrice si o nota minerala fina care aduce echilibru si eleganta.","Vinificat in stil reductiv, la temperaturi controlate, pentru a pastra puritatea aromatica a strugurilor si caracterul proaspat al cupajului. Procesul pune accent pe claritate, prospetime si expresia naturala a fructului.","Arome proaspete de lime, grapefruit si mar verde, completate de note delicate de fructe galbene.","Se potriveste excelent cu fructe de mare, peste la gratar, salate proaspete sau branzeturi usoare. Este un vin ideal pentru preparate delicate unde prospetimea si aciditatea eleganta completeaza aromele farfuriei.","Gustul este vibrant si echilibrat, cu note de citrice, piersica alba si para. Aciditatea proaspata sustine textura fina a vinului si ii confera o senzatie curata si energica.",Valul lui Traian,6–10°C,Prospetime si eleganta din Valul lui Traian,"Sauvignon Blanc, Pinot Grigio",'3.9,Vin lab sec,,kg,,29.04,active
bravoure-fume-chardonnay-rkatziteli,Bravoure Chardonnay & Rkatziteli,"<p data-start=""67"" data-end=""442"">Bravoure Chardonnay &amp; Rkatziteli aduce impreuna doua soiuri care se completeaza natural: eleganta structurata a Chardonnay-ului si prospetimea vibranta a Rkatziteli-ului. Cultivati in regiunea Valul lui Traian din sudul Moldovei, strugurii beneficiaza de un climat luminos si de influente maritime care favorizeaza dezvoltarea aromelor curate si a unei aciditati echilibrate.</p>
<p data-start=""444"" data-end=""680"">Vinul este construit in jurul claritatii si echilibrului. Chardonnay-ul aduce volum si rotunjime, in timp ce Rkatziteli contribuie cu tensiune si prospetime, rezultand un vin alb sec modern, bine definit si usor de integrat gastronomic.</p>
<p data-start=""682"" data-end=""971"">Bravoure exploreaza expresia contemporana a vinurilor din Moldova, unde terroir-ul, tehnica de vinificatie si stilul elegant se intalnesc intr-un vin care ramane accesibil, dar sofisticat in acelasi timp. Este un vin potrivit pentru mese relaxate, dar si pentru contexte culinare rafinate.</p>",PovesteDeVin,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Vin alb,"bravoure, chardonnay rkatziteli, cupaj chardonnay rkatziteli, custom-box-eligible, hidden-individual, hidden-product, vin alb gastronomic, vin alb premium moldova, vin alb sec moldova, vin alb valul lui traian, vin chardonnay moldova, vin elegant moldova, vin rkatziteli moldova",true,Title,Default Title,,,,,,,,B-CRK,1350.0,shopify,-2,continue,manual,41.92,,true,false,,,,,'5941930900129,https://cdn.shopify.com/s/files/1/0988/7947/1998/files/Bravoure_Fume_Chardonnay_Rkatziteli.jpg?v=1772645008,1,Bravoure Chardonnay & Rkatziteli aduce impreuna doua soiuri care se completeaza natural: eleganta structurata a Chardonnay-ului si prospetimea vibranta a Rkatziteli-ului,false,Bravoure Chardonnay & Rkatziteli – Vin Alb Sec din Valul lui Traian,"Cupaj alb din Chardonnay si Rkatziteli cultivat in Valul lui Traian, cu note de fructe albe si citrice si o textura eleganta. Ideal pentru peste, fructe de mare sau mese relaxate. Disponibil pe PovesteDeVin in cutie de 6 sticle sau cutie personalizabila.",,,,,,,,,,,,,,,dry,white,,,,,13%,,1.35 kg,Sticla 0.75L,Moldova,"Finalul este curat si elegant, cu persistenta medie si note proaspete de citrice care lasa o senzatie revigoranta.","Vinificat la temperaturi controlate pentru a pastra expresia aromatica a soiurilor si echilibrul natural al vinului. Procesul pune accent pe prospetime, claritate si o textura fina specifica stilului Bravoure.","Arome delicate de mar galben, para coapta si citrice, completate de note florale si o usoara senzatie de fructe exotice.","Se potriveste foarte bine cu peste la gratar, fructe de mare, paste cu sosuri usoare sau preparate din carne alba. Aciditatea echilibrata si textura fina il fac potrivit si pentru branzeturi proaspete sau salate mediteraneene.","Gustul este echilibrat si rotund, cu fructe albe, mar copt si o usoara nota citrica care sustine prospetimea vinului si ii confera claritate.",Valul lui Traian,6–10°C,Echilibru si prospetime din Valul lui Traian,"Chardonnay, Rkatziteli",'3.7,Vin alb sec,,kg,,29.94,active
